ファイル名,ユーズID,ルール種別,ルールID,条件SEQ,列番号,演算子,比較値,論理,出力タイプ,結果値,保存対象テーブル,保存対象カラム,項目ID,メモ
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_10,1,10,,,,そのまま登録,10,PRODUCT_MST,STORE_ID,StoreId,店舗コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_11,1,11,,,,そのまま登録,11,PRODUCT_MST,STORE_NAME,StoreName,店舗名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_12,1,12,,,,そのまま登録,12,PRODUCT_MST,NEW_ITEM_TYPE,NewItemType,新品区分
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_13,1,13,,,,そのまま登録,13,PRODUCT_MST,QUANTITY,Quantity,数量
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_14,1,14,,,,そのまま登録,14,PRODUCT_MST,SUPPLIER_TYPE,SupplierType,仕入先区分
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_15,1,15,,,,そのまま登録,15,PRODUCT_MST,SALES_DESTINATION_TYPE,SalesDestinationType,販売先区分
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_16,1,16,,,,そのまま登録,16,PRODUCT_MST,SALES_DESTINATION_NAME,SalesDestinationName,販売先名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_17,1,17,,,,そのまま登録,17,PRODUCT_MST,ASSESSMENT_PRICE,AssessmentPrice,査定価格
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_18,1,18,,,,そのまま登録,18,PRODUCT_MST,PURCHASE_PRICE,PurchasePrice,買取価格
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_19,1,19,,,,そのまま登録,19,PRODUCT_MST,DISPLAY_PRICE,DisplayPrice,表示価格
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_20,1,20,,,,そのまま登録,20,PRODUCT_MST,SALE_PRICE,SalesPrice,売上価格
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_21,1,21,,,,そのまま登録,21,PRODUCT_MST,CONSIGNMENT_GPCOMPANY_ID,ConsignmentGpCompanyId,委託元GP会社コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_22,1,22,,,,そのまま登録,22,PRODUCT_MST,CONSIGNED_PRODUCT_CODE,ConsignedProductCode,委託元商品コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_23,1,23,,,,そのまま登録,23,PRODUCT_MST,STAFF_NAME,StaffName,担当者名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_24,1,24,,,,そのまま登録,24,PRODUCT_MST,UPDATE_TYPE,UpdateType,更新種別
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_25,1,25,,,,そのまま登録,25,PRODUCT_MST,UPDATE_DATE,UpdateDate,更新日
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_26,1,26,,,,そのまま登録,26,PRODUCT_MST,UPDATE_TIME,UpdateTime,更新時
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_27,1,27,,,,そのまま登録,27,PRODUCT_EAV,MATERIAL_1,Material1,素材1
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_28,1,28,,,,そのまま登録,28,PRODUCT_EAV,MATERIAL_2,Material2,素材2
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_29,1,29,,,,そのまま登録,29,PRODUCT_EAV,COLOR_1,Color1,カラー1
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_30,1,30,,,,そのまま登録,30,PRODUCT_EAV,COLOR_2,Color2,カラー2
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_31,1,31,,,,そのまま登録,31,PRODUCT_EAV,SIZE_1,Size1,サイズ1
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_32,1,32,,,,そのまま登録,32,PRODUCT_EAV,SIZE_2,Size2,サイズ2
